Origin,DividedPercentage,TotalPercentage,Name,Color,Value
Business Row 4,1,20.24211249,Business,Y,30161416
Business Row 4,2,20.24211249,Business,Y,30161416
Business Row 4,4,20.24211249,Business,Y,30161416
Business Row 4,5,20.24211249,Business,N,30161416
Business Row 4,3,20.24211249,Business,Y,30161416
Business Row 2,1,20.24211249,Business,N,30161416
Business Row 2,2,20.24211249,Business,N,30161416
Business Row 2,3,20.24211249,Business,N,30161416
Business Row 2,4,20.24211249,Business,N,30161416
Business Row 2,5,20.24211249,Business,N,30161416
Business Row 1,1,20.24211249,Business,N,30161416
Business Row 1,2,20.24211249,Business,N,30161416
Business Row 1,3,20.24211249,Business,N,30161416
Business Row 1,4,20.24211249,Business,N,30161416
Business Row 1,5,20.24211249,Business,N,30161416
Business Row 3,1,20.24211249,Business,N,30161416
Business Row 3,2,20.24211249,Business,N,30161416
Business Row 3,3,20.24211249,Business,N,30161416
Business Row 3,4,20.24211249,Business,N,30161416
Business Row 3,5,20.24211249,Business,N,30161416
